peak_time,goes_class,goes_letter,duration_min,early_max,early_mean,early_std,rise_30s,rise_60s,rise_3m,deriv_max,deriv_mean,flux_integral,accel_max,target_class
2024-10-02 07:19:53.000663,M2.1,M,6.116666666666666,2.065303340149966e-05,1.9801817164779073e-05,6.479139702316412e-07,0.056437457070899796,0.11970541097458592,0.1363046630542624,4.176323562826615e-08,5.457797236320724e-09,0.005960346966598501,7.657350602135897e-09,2
2024-10-02 08:08:59.000663,M2.6,M,4.433333333333334,2.5657805044308114e-05,1.8326111326254002e-05,4.327104862765178e-06,0.23710241972302548,0.6247146553036066,0.31720184649723526,1.8613951374687578e-07,-6.008316333799081e-10,0.005516159509202454,3.62190411270167e-09,2
2024-10-02 09:25:20.000663,M1.1,M,4.883333333333334,1.0550102249488752e-05,9.571136430032135e-06,7.194578155463213e-07,0.1559091281883047,0.23767735585991973,0.1685393258426965,5.81117927743693e-08,6.757304986124246e-10,0.0028809120654396726,1.2269938650306035e-09,2
2024-10-02 10:45:32.000663,M2.4,M,9.75,2.3531697341513295e-05,1.4766902870912005e-05,4.8045769389844925e-06,0.2860238353196101,0.821144817623691,1.0822499097146987,2.217223358327654e-07,1.100910040414714e-08,0.004444837764144513,4.139968189047945e-09,2
2024-10-02 11:07:35.000663,X1.0,X,27.166666666666668,0.00010059645535105658,5.4662871093174995e-05,3.188749328213351e-05,0.48835101078777987,1.3922581814885324,8.260175868008341,5.098841172460808e-07,3.1078837026995163e-07,0.016453524199045673,4.580777096114512e-09,3
2024-10-02 11:53:28.000663,M2.6,M,2.3666666666666667,2.6237218813905932e-05,1.688206772698141e-05,5.834303967476919e-06,0.22166189111747858,0.4594460362941737,-0.21382999044890175,1.8368552601681434e-07,-2.728044435456493e-08,0.005081502385821404,3.2598651821555866e-09,2
2024-10-02 13:41:11.000663,C7.3,C,4.383333333333334,7.25289706884799e-06,6.640795168117183e-06,3.6333583424197497e-07,0.11345183234584148,0.1608514373491332,0.05255650647355712,3.749147920927068e-08,1.5943493095192783e-10,0.001998879345603272,8.952510793001479e-10,1
2024-10-02 14:51:51.000663,C8.6,C,15.85,8.561690524880709e-06,7.761198187364544e-06,9.212958043100367e-07,0.16531583687122087,0.3049015824006175,0.6009262832883054,3.1038400363553686e-08,9.91352434974537e-09,0.002336120654396728,8.270847534651145e-10,1
2024-10-02 15:09:53.000663,C5.9,C,7.85,5.922290388548058e-06,5.574850475692251e-06,1.473585795373697e-07,0.05665722379603408,0.06876126706155031,0.03476693278392999,1.6223585548738873e-08,2.1632492916856277e-09,0.0016780299931833675,8.588957055214727e-10,1
2024-10-02 15:43:14.000663,M1.4,M,8.6,1.4214723926380369e-05,1.2690207828030629e-05,1.851106492333238e-06,0.466999272424904,0.8003326057582374,1.1672383328136369,1.1097477845944113e-07,2.1222789794796773e-08,0.003819752556237219,3.6128152692569157e-09,2
2024-10-02 18:41:00.000663,M1.3,M,7.9,1.2747102931152012e-05,1.0803058199548426e-05,1.4848376057653975e-06,0.1690431704199036,0.46189399154292465,0.6596518831743536,7.670983867302883e-08,1.2986078216963054e-08,0.0032517205180640765,1.872301749602347e-09,2
2024-10-02 19:07:41.000663,M9.1,M,31.383333333333333,2.9464894342194955e-05,1.4139808907821464e-05,6.241031673496299e-06,0.0720135554927985,0.1861997552480467,0.9059587687094038,1.7541467848216309e-07,7.052975706507774e-08,0.004256082481254261,1.8813905930470614e-09,2
2024-10-02 22:32:00.000663,M1.3,M,2.683333333333333,1.3095432856169052e-05,1.04002427717651e-05,1.805897638073634e-06,0.17239538143228975,0.26583461256090246,-0.06033504638590402,6.902976596228124e-08,-6.837617946098481e-09,0.003130473074301295,1.2906157691433647e-09,2
2024-10-02 23:10:35.000663,M1.3,M,5.783333333333333,1.2557600545330608e-05,1.1546150414319911e-05,9.778676915395147e-07,0.13102558263113934,0.2614438624459118,0.3902679723677218,4.367189275164731e-08,5.058805093288553e-09,0.003475391274710293,1.7041581458761207e-09,2
2024-10-03 08:04:15.000663,M2.2,M,17.9,2.1804362644853444e-05,1.899638786412934e-05,2.3217828650240222e-06,0.11969758473716266,0.25578445301400465,0.4904099857925717,6.78936605316972e-08,2.869664939891125e-08,0.005717912747102931,4.04453533287901e-09,2
