instrument,tier,solexs_start,solexs_peak,solexs_stop,solexs_peak_flux,goes_class,goes_letter,duration_min,impulsive,baseline_flux,enhancement,goes_match,goes_class_official,goes_peak_official,peak_time_error_min,neupert_lead_min,deriv_peak_time,hel1os_detected,hel1os_peak,hel1os_peak_flux,hel1os_lead_min,dual_confirmed,source,nci,impulsive_duration_s
SoLEXS,B,2024-10-02 07:18:21.000663,2024-10-02 07:19:53.000663,2024-10-02 07:24:27.000663,2.065303340149966e-05,M2.1,M,6.116666666666666,True,8.96993865030675e-06,2.302472091132237,True,M2.1,2024-10-02 07:19:00,0.8833443833333334,12.383333333333333,2024-10-02 07:07:30.000663,False,,,,False,SoLEXS-only,0.8830931034710833,93.0
SoLEXS,B,2024-10-02 08:07:21.000663,2024-10-02 08:08:59.000663,2024-10-02 08:10:39.000663,2.5657805044308114e-05,M2.6,M,4.433333333333334,True,6.711588275391956e-06,3.8229110594257514,False,,,,0.8166666666666667,2024-10-02 08:08:10.000663,False,,,,False,SoLEXS-only,0.9518748742070293,99.0
SoLEXS,B,2024-10-02 09:24:00.000663,2024-10-02 09:25:20.000663,2024-10-02 09:28:52.000663,1.0550102249488752e-05,M1.1,M,4.883333333333334,True,4.1389911383776415e-06,2.548955022315914,False,,,,1.4333333333333333,2024-10-02 09:23:54.000663,False,,,,False,SoLEXS-only,0.9078478138954451,81.0
SoLEXS,B,2024-10-02 10:43:32.000663,2024-10-02 10:45:32.000663,2024-10-02 10:46:48.000663,2.3531697341513295e-05,M2.4,M,9.75,True,3.7552147239263802e-06,6.266405271469805,False,,,,0.6833333333333333,2024-10-02 10:44:51.000663,False,,,,False,SoLEXS-only,0.9768121129160837,121.0
SoLEXS,B,2024-10-02 11:01:55.000663,2024-10-02 11:07:35.000663,2024-10-02 11:13:18.000663,0.00010229516019086572,X1.0,X,27.166666666666668,True,3.972733469665985e-06,25.749313658201785,True,X1.8,2024-10-02 11:07:00,0.5833443833333334,3.2333333333333334,2024-10-02 11:04:21.000663,False,,,,False,SoLEXS-only,0.9803999254700003,341.0
SoLEXS,B,2024-10-02 11:52:21.000663,2024-10-02 11:53:28.000663,2024-10-02 11:54:42.000663,2.6237218813905932e-05,M2.6,M,2.3666666666666667,True,8.883162917518746e-06,2.9535897357193286,False,,,,0.6333333333333333,2024-10-02 11:52:50.000663,False,,,,False,SoLEXS-only,0.8835223987154179,68.0
SoLEXS,A,2024-10-02 13:40:17.000663,2024-10-02 13:41:11.000663,2024-10-02 13:44:39.000663,7.25289706884799e-06,C7.3,C,4.383333333333334,True,3.0912747102931152e-06,2.346247987827736,False,,,,0.6833333333333333,2024-10-02 13:40:30.000663,False,,,,False,SoLEXS-only,0.8249345371537449,55.0
SoLEXS,A,2024-10-02 14:48:21.000663,2024-10-02 14:51:51.000663,2024-10-02 14:59:25.000663,8.561690524880709e-06,C8.6,C,15.85,True,2.6394001363326516e-06,3.243801652892562,False,,,,3.9833333333333334,2024-10-02 14:47:52.000663,False,,,,False,SoLEXS-only,0.8462217994268915,211.0
SoLEXS,A,2024-10-02 15:04:55.000663,2024-10-02 15:09:53.000663,2024-10-02 15:12:45.000663,5.922290388548058e-06,C5.9,C,7.85,False,2.6413769597818675e-06,2.242122377351674,False,,,,22.016666666666666,2024-10-02 14:47:52.000663,False,,,,False,SoLEXS-only,0.4403035177676379,299.0
SoLEXS,B,2024-10-02 15:40:16.000663,2024-10-02 15:43:14.000663,2024-10-02 15:46:57.000663,1.4214723926380369e-05,M1.4,M,8.6,True,3.25494205862304e-06,4.3671204188481685,False,,,,2.7333333333333334,2024-10-02 15:40:30.000663,False,,,,False,SoLEXS-only,0.9544989351822097,179.0
